test,metric,value
colmap_sanity,CSA_ratio_prox/dist,0.68
colmap_sanity,obstruction_CSA_pct,32.0
test1,cue_present,True
test1,median_monotonicity,0.831
test1,r60_prox_px,313.3
test1,r60_dist_px,305.9
test2_invsq,CSA_ratio_prox/dist,1.275
test2_invsq,ordering_correct,False
test2_invsq,stable,True
test3_pretrained,CSA_ratio_prox/dist,2.082
test3_pretrained,ordering_correct,False
test3_pretrained,stable,False
test4_gradient,geom_R2,0.885
test4_gradient,geom_slope,0.753
test4_gradient,slope_CoV_pct,3.4
test4_gradient,angular_consistency,0.342
test4_gradient,shape_match,True
test4_gradient,stable_across_frames,True
step1,R_photo_ratio_prox/dist,1.006
step1,spearman_R_photo_vs_COLMAP_DCE,0.002
step1,wall_brightness_ratio_prox/dist,1.254
step1,tracks_narrowing,False
