arclength_mm,dce_mm,csa_mm2,n_slab_verts,centerline_node_idx,segment
2.527,1.3528,1.4374,54,3353,TRACHEA
3.790,2.7586,5.9767,127,3365,TRACHEA
5.053,3.6339,10.3713,148,3401,TRACHEA
6.316,3.6399,10.4055,185,3421,TRACHEA
7.277,4.8096,18.1682,147,3422,TRACHEA
8.540,4.3339,14.7518,108,3461,TRACHEA
9.804,6.7653,35.9472,167,3424,TRACHEA
10.624,6.4641,32.8180,177,3426,TRACHEA
11.444,6.7027,35.2844,237,3428,TRACHEA
12.264,6.3650,31.8194,217,3430,TRACHEA
13.085,6.8853,37.2336,191,3432,TRACHEA
13.905,8.4263,55.7659,208,3433,TRACHEA
14.725,5.0647,20.1466,115,3434,TRACHEA
16.647,4.7010,17.3572,128,3437,TRACHEA
17.607,6.5550,33.7465,151,3439,TRACHEA
18.871,4.3286,14.7161,108,3469,TRACHEA
19.831,4.6769,17.1794,112,3472,TRACHEA
21.753,4.8868,18.7558,110,3471,TRACHEA
22.713,7.0348,38.8681,162,3476,TRACHEA
23.674,4.5833,16.4985,144,3522,TRACHEA
24.635,5.5049,23.8003,152,3475,TRACHEA
25.135,5.6007,24.6359,113,3474,TRACHEA
26.095,5.5932,24.5704,134,3483,TRACHEA
26.595,5.7349,25.8310,136,3482,TRACHEA
27.095,5.9639,27.9348,129,3481,TRACHEA
27.595,5.9820,28.1047,131,3480,TRACHEA
28.095,6.3246,31.4165,129,3479,TRACHEA
28.595,5.8191,26.5949,132,3478,TRACHEA
29.556,5.0072,19.6912,129,3487,TRACHEA
30.056,4.5422,16.2039,126,3486,TRACHEA
30.556,4.5988,16.6105,138,3485,TRACHEA
31.056,5.2281,21.4674,105,3484,TRACHEA
32.017,5.3922,22.8357,116,3488,TRACHEA
32.978,5.6998,25.5157,138,3490,TRACHEA
33.938,4.6585,17.0441,109,3493,TRACHEA
34.438,5.7395,25.8721,135,3492,TRACHEA
35.399,4.8643,18.5837,104,3496,TRACHEA
36.860,5.8112,26.5232,137,3491,TRACHEA
37.820,5.8977,27.3187,150,3494,TRACHEA
38.781,5.2966,22.0338,106,3498,TRACHEA
39.281,7.7400,47.0517,236,3497,TRACHEA
40.544,5.7052,25.5642,130,3525,TRACHEA
41.044,5.9002,27.3418,133,3524,TRACHEA
41.544,6.9895,38.3693,181,3523,TRACHEA
42.505,5.6177,24.7864,122,3530,TRACHEA
43.005,5.5350,24.0613,108,3529,TRACHEA
43.505,4.8611,18.5591,95,3528,TRACHEA
44.005,4.5597,16.3288,93,3527,TRACHEA
44.505,7.1851,40.5466,253,3526,TRACHEA
45.466,4.8343,18.3552,102,3535,TRACHEA
45.966,5.0197,19.7900,115,3534,TRACHEA
46.466,5.0934,20.3753,123,3533,TRACHEA
46.966,5.0016,19.6475,119,3532,TRACHEA
47.466,7.2222,40.9670,254,3531,TRACHEA
48.426,5.1551,20.8717,125,3540,TRACHEA
48.926,5.2844,21.9322,118,3539,TRACHEA
49.426,5.3547,22.5197,126,3538,TRACHEA
49.926,5.4886,23.6596,136,3537,TRACHEA
50.426,7.0471,39.0039,247,3536,TRACHEA
51.387,5.6864,25.3958,141,3547,TRACHEA
51.887,5.8743,27.1020,150,3546,TRACHEA
52.387,6.0283,28.5416,157,3545,TRACHEA
52.887,6.0956,29.1828,160,3544,TRACHEA
53.387,6.1891,30.0842,158,3543,TRACHEA
53.887,6.2437,30.6179,162,3542,TRACHEA
54.387,7.2208,40.9509,233,3541,TRACHEA
55.348,6.4322,32.4947,178,3549,TRACHEA
55.848,8.0050,50.3285,302,3548,TRACHEA
57.111,6.7999,36.3160,215,3500,TRACHEA
57.611,9.0394,64.1757,371,3499,TRACHEA
58.572,7.0624,39.1738,243,3556,TRACHEA
59.072,7.1218,39.8358,241,3555,TRACHEA
59.572,7.1125,39.7319,234,3554,TRACHEA
60.072,7.0667,39.2215,235,3553,TRACHEA
60.572,7.0007,38.4920,241,3552,TRACHEA
61.072,6.8967,37.3566,231,3551,TRACHEA
61.572,6.9452,37.8843,237,3550,TRACHEA
62.532,6.8282,36.6190,232,3560,TRACHEA
63.032,6.8571,36.9294,231,3559,TRACHEA
63.532,6.8466,36.8160,222,3558,TRACHEA
64.032,7.0753,39.3170,229,3557,TRACHEA
64.993,6.9224,37.6354,224,3565,TRACHEA
65.493,6.9531,37.9701,210,3564,TRACHEA
65.993,6.9081,37.4803,215,3563,TRACHEA
66.493,6.8495,36.8472,219,3562,TRACHEA
66.993,7.0762,39.3270,210,3561,TRACHEA
67.954,8.0904,51.4081,310,3568,TRACHEA
69.217,10.9850,94.7750,932,3501,TRACHEA
70.480,6.6530,34.7636,219,3567,TRACHEA
70.980,7.2091,40.8186,211,3566,TRACHEA
71.941,8.1814,52.5711,301,3569,TRACHEA
73.204,6.5512,33.7081,202,3505,TRACHEA
73.704,6.5862,34.0690,199,3504,TRACHEA
74.204,6.6619,34.8571,214,3503,TRACHEA
74.704,7.4615,43.7268,220,3502,TRACHEA
75.665,6.8223,36.5549,207,3514,TRACHEA
76.165,6.8637,37.0004,204,3513,TRACHEA
76.665,6.9039,37.4346,210,3512,TRACHEA
77.165,6.8963,37.3529,212,3511,TRACHEA
77.665,6.8725,37.0956,202,3510,TRACHEA
78.165,7.4263,43.3142,244,3509,TRACHEA
80.086,6.9025,37.4202,199,3508,TRACHEA
80.586,6.9431,37.8611,206,3507,TRACHEA
81.086,7.3543,42.4793,241,3506,TRACHEA
82.047,7.2428,41.2007,234,3515,TRACHEA
83.007,8.2258,53.1434,297,3517,TRACHEA
84.271,7.1169,39.7808,212,3451,TRACHEA
84.771,7.0983,39.5725,212,3450,TRACHEA
85.271,7.1215,39.8321,197,3449,TRACHEA
85.771,7.0715,39.2748,202,3448,TRACHEA
86.271,7.0544,39.0854,212,3447,TRACHEA
86.771,7.0558,39.1005,236,3446,TRACHEA
87.731,6.9195,37.6045,207,3453,TRACHEA
88.231,7.1373,40.0088,240,3452,TRACHEA
89.192,6.8317,36.6565,217,3457,TRACHEA
89.692,6.8557,36.9140,207,3456,TRACHEA
90.192,6.8350,36.6914,212,3455,TRACHEA
90.692,8.4554,56.1516,374,3454,TRACHEA
91.955,6.8154,36.4818,213,3410,TRACHEA
92.455,6.7767,36.0684,219,3409,TRACHEA
92.955,7.0718,39.2775,224,3408,TRACHEA
93.916,6.6952,35.2065,209,3415,TRACHEA
94.416,6.6438,34.6671,212,3414,TRACHEA
94.916,6.6396,34.6239,206,3413,TRACHEA
95.416,6.6142,34.3596,209,3412,TRACHEA
95.916,7.3541,42.4767,221,3411,TRACHEA
96.877,9.6527,73.1798,293,3416,TRACHEA
97.837,6.6307,34.5308,210,3373,TRACHEA
98.337,6.6581,34.8167,210,3372,TRACHEA
98.837,6.6572,34.8078,214,3371,TRACHEA
99.337,6.6349,34.5748,209,3370,TRACHEA
99.837,7.8250,48.0901,219,3369,TRACHEA
100.798,6.6388,34.6158,209,3380,TRACHEA
101.298,6.6973,35.2283,205,3379,TRACHEA
101.798,6.6956,35.2102,202,3378,TRACHEA
102.298,6.7542,35.8294,204,3377,TRACHEA
102.798,6.7097,35.3588,210,3376,TRACHEA
103.298,8.5367,57.2355,185,3375,TRACHEA
104.259,22.6903,404.3619,1490,3387,TRACHEA
105.219,8.6808,59.1847,170,3374,TRACHEA
106.180,7.0309,38.8252,203,3386,TRACHEA
106.680,7.2319,41.0771,197,3385,TRACHEA
107.180,7.3775,42.7470,197,3384,TRACHEA
107.680,7.6299,45.7225,199,3383,TRACHEA
108.180,7.7073,46.6542,201,3382,TRACHEA
108.680,8.5422,57.3101,135,3381,TRACHEA
109.641,7.9861,50.0904,206,3395,TRACHEA
110.141,8.0676,51.1180,200,3394,TRACHEA
110.641,8.2613,53.6022,179,3393,TRACHEA
111.141,8.3277,54.4684,174,3392,TRACHEA
111.641,8.3499,54.7582,169,3391,TRACHEA
112.141,8.3814,55.1731,144,3390,TRACHEA
112.641,8.2849,53.9090,130,3389,TRACHEA
113.141,7.7486,47.1554,116,3388,TRACHEA
114.102,8.0591,51.0104,132,3398,TRACHEA
114.602,8.6503,58.7690,222,3397,TRACHEA
115.562,10.3259,83.7418,258,3363,TRACHEA
116.523,8.4884,56.5897,222,3396,TRACHEA
117.484,7.6400,45.8433,107,3362,TRACHEA
117.984,7.3810,42.7876,106,3361,TRACHEA
118.484,7.3572,42.5124,103,3360,TRACHEA
118.984,7.0697,39.2548,105,3359,TRACHEA
119.484,7.0098,38.5927,102,3358,TRACHEA
119.984,6.9721,38.1780,93,3357,TRACHEA
120.484,5.8453,26.8353,98,3356,TRACHEA
121.747,19.5284,299.5183,1698,3352,TRACHEA
122.708,6.4435,32.6086,84,3350,TRACHEA
123.208,8.6111,58.2379,137,3349,TRACHEA
124.471,6.0858,29.0891,18,3364,TRACHEA
